28	25	.	.	.	.	.	.
.	.	.	.	.	.	37	27
21	15	40	29	22	.	32	24
20	15	.	.	.	.	.	.
.	.	.	30	29	91	.	.
.	.	49	38	26	100	38	25
24	18	51	32	26	91	34	25
21	18	.	30	25	.	.	.
.	.	47	.	.	.	.	.
.	.	50	34	32	100	.	.
24	20	.	.	.	.	.	.
19	15	.	.	.	.	.	.
22	20	.	.	.	.	.	.
.	.	49	.	.	.	.	.
.	.	.	28	25	.	.	.
20	17	.	.	.	.	.	.
27	19	49	.	.	.	38	25
.	.	46	34	29	98	.	.
.	.	45	.	.	.	35	23
.	.	55	34	29	97	39	27
21	16	44	27	24	82	.	.
.	.	.	.	.	.	40	27
.	.	41	.	.	.	.	.
.	.	.	28	26	82	.	.
.	.	52	33	29	98	.	.
23	20	.	.	.	.	.	.
.	.	.	30	27	92	.	.
21	14	40	28	26	80	.	.
.	.	.	33	27	95	41	25
18	15	41	.	.	.	.	.
23	19	.	32	29	95	.	.
22	17	.	.	.	.	.	.
19	15	.	23	22	70	32	20
.	.	52	30	28	91	35	27
.	.	.	30	26	89	.	.
.	.	.	30	33	95	.	.
.	.	.	28	24	80	.	23
20	17	.	.	.	.	.	.
24	19	.	.	.	.	.	.
.	.	.	29	26	.	.	.
.	.	52	34	32	102	37	30
24	18	47	.	.	.	37	22
26	20	.	.	.	.	.	.
.	.	.	33	27	95	.	.
23	20	.	31	27	92	.	.
21	18	43	.	.	.	.	.
.	.	46	31	30	92	35	22
24	19	49	.	.	.	.	.
.	.	.	.	.	.	30	24
.	.	41	.	.	.	30	21
19	15	44	27	24	80	34	21
26	18	.	.	.	.	.	.
19	15	.	.	.	.	32	21
.	.	.	30	30	93	.	.
.	.	47	29	25	84	.	.
24	20	49	.	.	.	.	.
.	.	50	.	.	.	37	26
22	15	44	29	25	83	34	23
.	.	.	.	.	.	35	24
.	.	.	28	25	84	.	.
24	20	46	34	31	100	.	.
23	19	48	31	25	80	35	25
.	.	47	.	.	.	.	.
25	19	46	32	28	93	36	22
23	19	.	31	26	94	.	.
.	.	52	33	29	93	.	.
.	.	.	27	25	83	.	.
.	.	44	27	28	.	33	20
26	21	.	29	30	.	.	.
23	18	.	.	.	.	.	.
.	.	.	31	27	92	.	.
