.	.	42	26	24	81	.	.
.	.	43	.	.	.	.	.
19	14	.	.	.	72	27	19
.	.	.	29	24	.	.	.
.	.	.	.	.	100	41	29
.	.	.	31	29	93	35	24
26	20	.	.	.	101	42	28
.	.	.	29	22	81	.	.
.	.	.	28	24	.	36	21
.	.	47	.	.	.	.	.
19	15	.	.	.	.	.	.
22	20	.	.	.	.	.	.
24	19	51	30	31	95	38	26
25	19	.	.	.	.	.	.
19	16	.	.	.	.	.	.
.	.	47	34	29	99	42	26
.	.	46	.	.	.	.	.
.	.	.	.	.	.	30	20
19	15	40	27	23	77	.	.
25	21	51	35	.	.	.	.
24	19	.	.	.	82	33	21
23	18	55	31	28	95	33	25
.	.	.	32	28	92	36	22
.	.	.	33	29	99	.	.
26	20	46	32	25	.	37	27
24	21	52	34	33	101	.	.
.	.	45	31	25	.	.	.
21	18	.	.	.	.	.	.
24	19	.	.	.	.	.	.
23	18	.	.	.	.	.	.
23	18	49	29	26	.	37	23
21	18	.	.	.	.	.	.
28	20	51	36	31	105	39	28
.	.	43	.	.	.	.	.
18	13	.	27	27	82	.	.
.	.	49	.	.	.	.	.
.	.	55	36	29	102	.	.
.	.	.	.	.	.	39	26
